Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Actors_Stars,Direction_Stars,Screenplay_Stars,Oscars,Oscar_Nominations,BAFTA_Awards,BAFTA_Nominations,Golden_Globes,Golden_Globe_Nominations,Action,Adventure,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
1,tt0068646,2012-12-21,2017-03-28,Actors: 5 Stars Direction: 5 Stars Screenplay: 5 StarsOscars: 3    Oscar Nominations: 11 BAFTA Awards: 0 BAFTA Nominations: 4 Golden Globes: 6 Golden Globe Nominations: 8,The Godfather,The Godfather,https://www.imdb.com/title/tt0068646/,Movie,9.2,175,1972,"['Crime', 'Drama']",2107434,1972-03-24,Francis Ford Coppola,5.0,5.0,5.0,3.0,11.0,0.0,4.0,6.0,8.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,tt0111161,2012-12-21,2017-03-26,Actors: 4.8 Stars Direction: 5 Stars Screenplay: 4.9 StarsOscars: 0 Oscar Nominations: 7 BAFTA Awards: 0 BAFTA Nominations: 0 Golden Globes: 0 Golden Globe Nominations: 2,The Shawshank Redemption,The Shawshank Redemption,https://www.imdb.com/title/tt0111161/,Movie,9.3,142,1994,['Drama'],3019758,1994-10-14,Frank Darabont,4.8,5.0,4.9,0.0,7.0,0.0,0.0,0.0,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,tt0108052,2012-12-21,2017-03-26,Actors: 4.9 Stars Direction: 5 Stars Screenplay: 5 StarsOscars: 7  Oscar Nominations: 12 BAFTA Awards: 6 BAFTA Nominations: 12 Golden Globes: 3 Golden Globe Nominations: 6,Schindler's List,Schindler's List,https://www.imdb.com/title/tt0108052/,Movie,9.0,195,1993,"['Biography', 'Drama', 'History']",1511813,1994-02-04,Steven Spielberg,4.9,5.0,5.0,7.0,12.0,6.0,12.0,3.0,6.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,tt0081398,2012-12-21,2017-03-26,Actors: 5 Stars Direction: 5 Stars Screenplay: 5 StarsOscars: 2 Oscar Nominations: 8 BAFTA Awards: 2 BAFTA Nominations: 4 Golden Globes: 1 Golden Globe Nominations: 7,Raging Bull,Raging Bull,https://www.imdb.com/title/tt0081398/,Movie,8.1,129,1980,"['Biography', 'Drama', 'Sport']",393315,1980-12-19,Martin Scorsese,5.0,5.0,5.0,2.0,8.0,2.0,4.0,1.0,7.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,tt0034583,2012-12-21,2017-03-26,Actors: 5 Stars Direction: 5 Stars Screenplay: 5 StarsOscars: 3  Oscar Nominations: 8 BAFTA Awards: N/A BAFTA Nominations: N/A Golden Globes: N/A Golden Globe Nominations: N/A,Casablanca,Casablanca,https://www.imdb.com/title/tt0034583/,Movie,8.5,102,1942,"['Drama', 'Romance', 'War']",627818,1943-01-23,Michael Curtiz,5.0,5.0,5.0,3.0,8.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
6,tt0033467,2012-12-21,2017-03-26,Actors: 5 Stars Direction: 5 Stars Screenplay: 5 StarsOscars: 1 Oscar Nominations: 9 BAFTA Awards: N/A BAFTA Nominations: N/A Golden Globes: N/A Golden Globe Nominations: N/A,Citizen Kane,Citizen Kane,https://www.imdb.com/title/tt0033467/,Movie,8.3,119,1941,"['Drama', 'Mystery']",478863,1941-09-05,Orson Welles,5.0,5.0,5.0,1.0,9.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,tt0031381,2012-12-21,2017-03-26,***** Actors: 5 Stars Direction: 5 Stars Screenplay: 5 StarsOscars: 8 Oscar Nominations: 13 BAFTA Awards: N/A BAFTA Nominations: N/A Golden Globes: N/A Golden Globe Nominations: N/A,Gone with the Wind,Gone with the Wind,https://www.imdb.com/title/tt0031381/,Movie,8.2,238,1939,"['Drama', 'Romance', 'War']",344509,1940-01-17,Victor Fleming,5.0,5.0,5.0,8.0,13.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
8,tt0032138,2012-12-21,2017-03-26,***** Actors: 5 Stars Direction: 5 Stars Screenplay: 5 StarsOscars: 2 Oscar Nominations: 6 BAFTA Awards: N/A BAFTA Nominations: N/A Golden Globes: N/A Golden Globe Nominations: N/A,The Wizard of Oz,The Wizard of Oz,https://www.imdb.com/title/tt0032138/,Movie,8.1,102,1939,"['Adventure', 'Family', 'Fantasy', 'Musical']",447667,1939-08-25,"Victor Fleming, King Vidor",5.0,5.0,5.0,2.0,6.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
9,tt0073486,2012-12-21,2017-03-26,***** Actors: 5 Stars Direction: 5 Stars Screenplay: 5 StarsOscars: 5 Oscar Nominations: 9 BAFTA Awards: 6 BAFTA Nominations: 9 Golden Globes: 6 Golden Globe Nominations: 6,One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest,https://www.imdb.com/title/tt0073486/,Movie,8.7,133,1975,['Drama'],1109986,1975-11-19,Milos Forman,5.0,5.0,5.0,5.0,9.0,6.0,9.0,6.0,6.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,tt0056172,2012-12-21,2017-03-26,Actors: 5 Stars Direction: 5 Stars Screenplay: 5 StarsOscars: 7 Oscar Nominations: 10 BAFTA Awards: 4 BAFTA Nominations: 5 Golden Globes: 4 Golden Globe Nominations: 7,Lawrence of Arabia,Lawrence of Arabia,https://www.imdb.com/title/tt0056172/,Movie,8.3,227,1962,"['Adventure', 'Biography', 'Drama', 'War']",327111,2013-04-02,David Lean,5.0,5.0,5.0,7.0,10.0,4.0,5.0,4.0,7.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
